ID,title,description,realeaseDate,budget,boxOffice,duration,filmStatus_code,genre_ID,director_ID
f0e9d8c7-b6a5-4c3d-2e1f-0a9b8c7d6e5f,Urban Legends,A thriller based on mysterious city folklore,2014-09-29,55000000,210000000,103,C,1dd143a0-7f85-4ce5-9a4f-84d09ecfa829,ee2f35bb-31d3-4848-bdda-7d37e506f75c
d5c4b3a2-1908-7f6e-5d4c-3b2a1f0e9a8b,Echoes of Time,A dramatic saga spanning multiple generations,2007-02-10,75000000,280000000,140,S,fcb0ca14-6040-43e5-8e65-e83f99ec5d1a,e1f18625-0270-4038-afe5-91247c5f91ed
c6d5b4a3-2910-8f7e-6d5c-4b3a2e1f0d9f,Starlight Serenade,A musical romance under the glow of the stars,2011-06-25,40000000,160000000,95,S,fcb0ca14-6040-43e5-8e65-e83f99ec5d1a,e1f18625-0270-4038-afe5-91247c5f91ed
e1f2d3c4-b5a6-7d8c-9e0f-1a2b3c4d5e6f,Rebel Hearts,An epic tale of love and revolution,2009-04-03,65000000,240000000,123,R,bca992db-3a79-4d11-8ffe-ab9a9f9d8e74,1581ec84-8937-4a4e-b8fe-4065fd9e21b4
d2c3b4a5-e6f7-8a9b-0c1d-2e3f4a5b6c7d,Ironclad,A historic war drama featuring legendary battles,2006-08-18,110000000,330000000,137,S,1dd143a0-7f85-4ce5-9a4f-84d09ecfa829,ee2f35bb-31d3-4848-bdda-7d37e506f75c
f1e2d3c4-b5a6-7d8c-9e0f-1a2b3c4d5e6a,Venomous,A high-octane action thriller with explosive stunts,2018-11-09,140000000,480000000,129,R,593cbf5a-2211-4381-a30c-ee9eeb066ccb,62dd36db-0481-4ae7-8c19-3440c310f62c
b4a3c2d1-e0f9-8d7c-6a5f-4e3d2c1b0a8e,Celestial Dreams,A visually stunning exploration of cosmic wonders,2012-12-12,85000000,370000000,115,C,fcb0ca14-6040-43e5-8e65-e83f99ec5d1a,e1f18625-0270-4038-afe5-91247c5f91ed
e3f2d1c0-b9a8-7f6e-5d4c-3b2a1f0e9d7c,Vortex,An intense sci-fi thriller that bends the laws of physics,2017-07-07,170000000,620000000,142,C,fcb0ca14-6040-43e5-8e65-e83f99ec5d1a,e1f18625-0270-4038-afe5-91247c5f91ed
c2d1e0f9-a8b7-6c5d-4e3f-2a1b0c9d8e7f,Whispering Shadows,A chilling horror that keeps you up at night,2010-10-29,25000000,95000000,98,R,bca992db-3a79-4d11-8ffe-ab9a9f9d8e74,1581ec84-8937-4a4e-b8fe-4065fd9e21b4
d9e8f7c6-b5a4-3c2d-1e0f-9a8b7c6d5e4b,Celestial Warrior,A space epic with heroic battles among the stars,2019-05-05,190000000,700000000,150,C,593cbf5a-2211-4381-a30c-ee9eeb066ccb,62dd36db-0481-4ae7-8c19-3440c310f62c
a2b3c4d5-e6f7-8a9b-0c1d-2e3f4a5b6c7a,Revenant,A tale of survival in a frozen wilderness,2009-12-18,45000000,150000000,122,R,bca992db-3a79-4d11-8ffe-ab9a9f9d8e74,1581ec84-8937-4a4e-b8fe-4065fd9e21b4
b9a8c7d6-e5f4-3d2c-1b0a-9e8f7d6c5b4c,Rift,An edge-of-your-seat thriller about a mysterious portal,2016-03-12,60000000,210000000,105,C,1dd143a0-7f85-4ce5-9a4f-84d09ecfa829,ee2f35bb-31d3-4848-bdda-7d37e506f75c
c8d7e6f5-b4a3-2c1d-0e9f-8d7c6b5a4f3c,Infinite Loop,A mind-twisting narrative that challenges time itself,2020-01-20,80000000,350000000,110,R,fcb0ca14-6040-43e5-8e65-e83f99ec5d1a,e1f18625-0270-4038-afe5-91247c5f91ed
a3b2c1d0-e9f8-7d6c-5b4a-3c2d1e0f9a8c,Tempest,A dramatic tale of nature's fury and human resilience,2004-08-30,50000000,170000000,118,S,593cbf5a-2211-4381-a30c-ee9eeb066ccb,62dd36db-0481-4ae7-8c19-3440c310f62c
d1c0b9a8-7e6f-5d4c-3b2a-1f0e9d8c7b6a,Neon Nights,A vibrant exploration of city life and urban dreams,2013-04-17,40000000,190000000,102,C,bca992db-3a79-4d11-8ffe-ab9a9f9d8e74,1581ec84-8937-4a4e-b8fe-4065fd9e21b4
e0f9d8c7-b6a5-4c3d-2e1f-0a9b8c7d6e5e,Midday Mirage,A surreal journey blending reality and illusion,2011-07-14,35000000,140000000,107,C,bca992db-3a79-4d11-8ffe-ab9a9f9d8e74,1581ec84-8937-4a4e-b8fe-4065fd9e21b4
b6a5c4d3-2910-8f7e-6d5c-4b3a2e1f0d9b,Crimson Skies,A war film set against a backdrop of political intrigue,2002-11-22,95000000,370000000,133,R,fcb0ca14-6040-43e5-8e65-e83f99ec5d1a,e1f18625-0270-4038-afe5-91247c5f91ed
c2b1a0f9-e8d7-6c5b-4a3f-2d1c0b9a8e7e,The Forgotten Realm,An epic fantasy where legends come to life,2015-12-03,140000000,520000000,145,C,bca992db-3a79-4d11-8ffe-ab9a9f9d8e74,1581ec84-8937-4a4e-b8fe-4065fd9e21b4
f2e1d0c9-b8a7-6f5e-4d3c-2b1a0e9d8c7d,Winds of Change,A heartwarming story about overcoming adversity,2008-03-28,30000000,130000000,99,C,fcb0ca14-6040-43e5-8e65-e83f99ec5d1a,e1f18625-0270-4038-afe5-91247c5f91ed
a8b7c6d5-e4f3-2d1c-0b9a-8f7e6d5c4b3d,Digital Fortress,A high-stakes cyber thriller in the digital age,2010-09-17,85000000,310000000,124,R,fcb0ca14-6040-43e5-8e65-e83f99ec5d1a,e1f18625-0270-4038-afe5-91247c5f91ed
c9d8e7f6-5a4b-3c2d-1e0f-9a8b7c6d5e4c,Desert Mirage,A visually stunning adventure in a vast desert,2014-05-21,60000000,230000000,116,C,bca992db-3a79-4d11-8ffe-ab9a9f9d8e74,e1f18625-0270-4038-afe5-91247c5f91ed
d4c3b2a1-0987-6e5d-4c3b-2a1f0e9d8c7e,Eclipse,A gripping drama that unfolds during a solar eclipse,2007-08-02,50000000,210000000,111,R,1dd143a0-7f85-4ce5-9a4f-84d09ecfa829,ee2f35bb-31d3-4848-bdda-7d37e506f75c
a1b2c3d4-e5f6-7a8b-9c0d-1e2f3a4b5c6b,Moonlit Whispers,A romantic drama set under the enchanting glow of the moon,2013-10-11,42000000,160000000,108,C,593cbf5a-2211-4381-a30c-ee9eeb066ccb,62dd36db-0481-4ae7-8c19-3440c310f62c
